English Grammar Books, English, English words, Century English grammar, Gutenberg Project, Grammar Books, English learning, Century English, named English, books named, Grammar, books named English
Text Mining, Software System, identifying relevant components, automatically identifying relevant, Leads Feature, Concept Mining, agile application, agile application development, Leads Feature Location, large complex software, application development environment, complex software system
providers share, development of weblogs, text mining, main text mining, Support Vector, weblogs, Vector Machine, text mining topics, social networks, weblogs and social, Support Vector Machine, websites and weblogs
Classification and Retrieval, Retrieval Model, Text Mining-based, equipment management systems, Aircraft Faults Classification, Aircraft Faults, Faults Classification, Research on Aircraft, information technology, aviation field, Text Mining-based Research, Research
children Epilepsy diagnosis, text mining, healthcare infrastructures, time and effort, epilepsy, extremely complex process, complex process, physicians and healthcare, extremely complex, considerable time, demanding considerable time, Epilepsy diagnosis
Reviews for Online, Graph-Based Representation, performance of results, Online Stores, loss of performance, pointwise mutual, vector space model, free text reviews, pointwise mutual information, enriched VSM, Customer Reviews, investigate the graph-based
Sustainable Development Goal, number of qualified, Text Min, Students with Disabilities, SWD in HEI, evidenced the lack, Text Min Inequalities, SWD, Higher, Education, higher education institutions, Higher Education
Binary Multi-Verse Optimizer, Text Clustering Feature, Technique based, task in data, Binary Multi-Verse, Feature Selection Technique, outperformed the rest, data mining, Text Feature Selection, Selection Technique based, important text features, lessen the cost
Modeling for Single, Topic Modeling, Natural Language Processing, Language Processing techniques, automate the process, fifteen news articles, Single Document Short, process of extracting, Short Texts, Automatic Topic Modeling, Document Short, Document Short Texts
LDA topic, secondary equipment faults, electrical equipment failures, secondary electrical equipment, power grids based, LDA topic model, operational data generated, Short text, text data model, categorize the fault, Short text data, text classification model
rapid growth, Influencing Factors, bike-sharing system problems, Bike-Sharing, experienced rapid growth, bike-sharing companies, growth in China, System in China, China Bike-sharing, close the gap, management and economy, Bike-Sharing System
biomedical domain, full parser Text, Text, parser Text, biomedical arena, focused on developing, analyzing the text, knowledge cultivation, parser Text mining, vital for knowledge, full parser, Text mining
Discovery of genes, biological network analysis, extracellular polymeric substance, text mining, secreted proteins, biological network, polymeric substance, network analysis Bacterial, complex surface attached, extracellular polymeric, mining and biological, extracellular DNAs
complex network tools, Process text clustering, recruitment data text, Web text mining, Chinese recruitment data, BERT pre-training depth, pre-training depth model, logistics job seekers, model Process text, web crawler technology, segment Chinese recruitment, depth model Process
Natural language processing, Natural language, Classification Data Set, Text, Text Classification Data, Specific Field, text data sets, Entity Recognition Natural, Recognition Natural language, text data, Named Entity Recognition, Named Entity
Text Mining, demonstrate the effectiveness, rapid development, Based on Text, text mining technology, improvement of social, traditional recommendation system, Recommendation System Based, social consumption level, System Based, System, calculate the feature
Geo Tracking, Analysis Web, Pattern Analysis Web, Web mining plays, mining techniques, Business Intelligence, Identify Alerts, Analysis Web mining, Web, mining plays vital, plays vital role, business intelligence development
English language structure, English Language Signal, Structural Modeling, word frequency analysis, language structural modeling, Word Frequency Data, Data Mining, Signal Based, English Language, frequency analysis method, Frequency Data Mining, Language Signal Based
Text Mining, pattern detection algorithm, availability of information, Multivariate Pattern Detection, Similarities The problem, Plagiarism Detection, recent years, Pattern Detection, Text Similarities, Multivariate Pattern, text mining methodology, electronic libraries
information management technology, Korean Text Resource, Resource Information Mining, Text Resource Information, Korean web pages, Management Platform, data mining technology, Platform This paper, applies data mining, Text Resource, paper applies data, Korean Text
Naïve Bayes text, Bayes text mining, case Knowledge, Naïve Bayes, unstructured data, scientific study, Naïve Bayes approach, case Knowledge Management, construction project case, project case Knowledge, ews detection, lifecycle in advance
analysis activities carried, software development stage, Inventory Management Application, validity and reliability, Management Application, determining the similarity, analyzing the text, software requirements based, MNC Play Inventory, Play Inventory Management, MNC Play, produce requirements specification
