gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, quantum lattice gas, solve fluid dynamics, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, algorithm Recent, information processors communicating, dynamics problems, lattice gas, communicating via classical, classical channels, fluid dynamics, nonlinear Burgers equations, Quantum lattice-gas algorithms, NMR implementation
Wave propagation related, finite element method, finite element, Wave propagation, boundary finite element, unbounded domains Analysis, scaled boundary finite, high-speed train related, high-speed train, scaled boundary, element, element method, finite, method, boundary finite, unbounded, unbounded media, propagation related, train related ground, finite element domain
implicit predictor corrector, Parallel implicit predictor, predictor corrector methods, implicit predictor, predictor corrector, Parallel implicit, called Parallel Implicit, corrector methods, solution of initial, strongly sensitive, continuous problem, parallel codes, Parallel, methods The performance, initial value problems, performance of parallel, called Parallel, implicit, predictor, problem
method Combinatorial explosion, stubborn set method, set method Combinatorial, actual parallel composition, set method construct, number of successor, Minimizing the number, Combinatorial explosion, reduced LTS, stubborn set, set method, parallel compositions, successor states, letting the stubborn, method construct, actual parallel, explosion which occurs, alleviated by letting, number, successor
information technology force, Himalayan information, proposed model, technology force, information, Himalayan information system, Himalayan, develop information systems, years in India, information explosion, information technology, develop information, Himalaya has achieved, system, Himalayan research institutions, Himalayan research, information system, HIMIS, fields, India
form the backbone, Class hierarchies form, transitive closure reasoning, Efficient transitive closure, hierarchies, transitive closure, hierarchy, reasoning, closure reasoning, reasoning systems, Efficient transitive, class, hierarchies form, containment, closure, transitive, part, artificial intelligence, implemented knowledge representation, implemented knowledge
improved fuzzy system, Fuzzy system modeling, Fuzzy system, existing approaches identified, system modeling algorithm, improved fuzzy, system modeling, propose an improved, approaches identified, improved algorithm, existing approaches, algorithm, system, Fuzzy, improved, pharmacological data, significant input determination, cluster validity problem, modeling, modeling algorithm
systems Active control, Rossler and Chen, chaotic systems Active, Active control, systems Active, Chen chaotic systems, Chen systems, identical Rossler, systems, Rossler, chaotic systems, Chen, Active, Chen chaotic, effective method, method for making, Chen systems globally, parameters, chaotic, Lyapunov stability
Crank-Nicolson scheme applied, one-dimensional heat equation, Crank-Nicolson scheme, stability constant, scheme applied, heat equation, one-dimensional heat, maximum-norm, Crank-Nicolson, scheme, stability, constant, equation, heat, one-dimensional, Sharpening the estimate, paper is concerned, Dirichlet or Neumann, Sharpening, applied
Computing failure probabilities, failure probabilities, Computing failure, reliability analysis, Applications to reliability, method, calculating failure, failure, recursive method based, probabilities, Computing, reliability, analysis, method based, Applications, calculating, paper presents, limit condition set, resulting multiple integrals, based
power system restoration, system restoration, standing phase angle, phase angle, phase angle reduction, closing circuit breakers, standing phase, SPA, restoration, angle, angle reduction, line, power system, phase, closing circuit, circuit breakers, system, excessive SPA, buses, standing
fuzzy set theory, fuzzy set, set theory, decision making, Individual decision making, paper shows, shows the importance, highlights the prime, prime domain, making, decision, Individual decision, fuzzy, set, theory, individual and highlights, importance of decision, domain of decision, Individual, tool
