data and structured information, books named English, Books, Gutenberg Project, Grammar, grammar books are important, Century English grammar books, materials for English learning, important materials, unstructured data and structured, order to systematically analyze, themes and trends
capability of accessing information, mobile web search, effort, user, devices, mobile information retrieval Mobile, reduce users time, relevant, interaction and present, Context, retrieval Mobile users, time
Query, propose, based on supervised query, Improve Diversity-oriented Biomedical Information, candidate expansion terms, information retrieval method based, Supervised Query Expansion, method aims to obtain, Retrieval, method, Biomedical Information Retrieval, terms
aims to deduce repeatedly, promoting diversity in biomedical, redundancy aims to deduce, diversity means to provide, Prompting, disambiguation of user, user queries, Expoliting rich features, information retrieval Prompting diversity, demand of personalization, addressing the domain, biomedical information
Model, obtains the distribution fusion, English cross-language information, systemic, Information Retrieval Model Based, structure model of Chinese, systemic functional linguistics, Dictionary Learning, Chinese and English cross-language, Chinese, vision of Systemic Functional, English
Model, Real Estate Ontology, Performance Metrics using Real, Ontology With an ever-increasing, today Semantic web scenario, Retrieval, Estate Information Retrieval Model, data, fetches inappropriate legal, e-governance based real estate, loads of miscellaneous legal, legal terminology that fetches
automated fact retrieval strategies, targets to assess numerous, Information, provide advanced data accessibility, Evaluating Automated Information Retrieval, retrieval strategies with appreciation, Improved, Techniques for Improved Data, offer green statistics access, potential to provide advanced, unique techniques include SEO, assess numerous automated fact
ensure the identification, Cloud Computing Recently, form of web services, response to users' demands, Social Bees Lifstyle, pass through three dams, Information, Lifstyle over Cloud Computing, Cloud, Private Information Retrieval Protocol, hive represents the class, cloud services starting
Latent Dirichlet Allocation, based on Latent Dirichlet, method based on LDA, LDA, retrieval information in Mongolian, information retrieval method based, retrieval, estimated with Gibbs sampling, Latent, topics, Mongolian, mine the hidden
world wide web, base, web from many search, domain, retrieval, accessed from world, Efficient information retrieval, query, knowledge base, engine, ontology, search engine search information
information retrieval Traditional Chinese, Traditional Chinese medicine, human, medicine, TCM, human physiology and pathology, retrieval, research and application, information, Chinese, treatment of human diseases, Chinese medicine knowledge system
