named English, books named English, Century English, English learning, Grammar, Century English grammar, books named, Grammar Books, English, Gutenberg Project, English words, English Grammar Books
Data-Driven Intelligence Data-driven, Text Mining, intelligence can play, Data-Driven Intelligence, Police Incident Logs, Intelligence Data-driven, Automated Text Mining, Incident Logs, Intelligence Data-driven intelligence, Text Mining Approach, Classifying Mental-Ill Health, Mental-Ill Health
learning disorder, Manual Assessment, Text Processing, assessing Dyslexia children, specific learning, specific learning disorder, Dyslexia, Dyslexia Children, Children, Text Processing Dyslexia, Assessment, learning success
paper intends, textual information linked, geolocation data, Data Mining, create an application, application that performs, Social, Location-Based Social Network, intends to create, Social Recommendation, linked to geolocation, Social Network
Label Problem, Method Solving Multi-Text, Solving Multi-Text Label, Method Solving, Improved Term Frequency-Inverse, Frequency-Inverse Document Frequency, people can express, Internet era, Frequency Method Solving, Multi-Text Label Problem, Term Frequency-Inverse Document, Improved Term
Sentiment Rapid growth, Based Automatic, Learning Based, modern era, Learning Based Automatic, Customer Sentiment Rapid, Rapid growth, Based Automatic Classification, customer satisfaction, Machine Learning Based, Customer, Sentiment Rapid
utilized social media, Detection System, Warning Detection System, deployed Naïve Bayes, Naïve Bayes Algorithm, Naïve Bayes, Bayes Algorithm Aware, social media, Twitter Contents, Early Warning Detection, social media including, suicide bomber alike
Text classification, abusive, clustering, classification using clustering, techniques, websites, Social websites, Social, Social media, Text, main part, clustering techniques
contemporary instructional design, Hong Kong adopted, important pedagogical approach, pedagogical approach, learn and discover, approach, motivate students actively, students', students actively learn, actively learn, CityU Hong Kong, motivate students
Multinomial Naïve Bayes, Indonesia will benefit, Bayes Method Indonesia, Review Text Classification, Naïve Bayes, higher labor supply, Work Field, bayes classification method, Work Field Review, Field Review Text, Telematics Work Field, Naïve Bayes Method
knowledge management, source of inspiration, knowledge management Knowledge, knowledge development, KNN and SVM, main source, text classification technology, SVM text classification, SVM text, core of innovation, knowledge economy, knowledge
dataset, research, information, data mining, crash investigation, refers to extraction, mining, Data mining refers, called information mining, huge chunks, similarity, data
Allocation, Latent Dirichlet Allocation, Classification Using Latent, Latent Dirichlet, Clustering, Latent, Topic Classification, Classification, Document Clustering, Dirichlet, data, added into databases
Natural Language, trends detection system, Language Processing techniques, companies must constantly, highly competitive environment, Trends Detection, Fashion, fast-changing and highly, Natural Language Processing, constantly adapt, highly competitive, Fashion Trends Detection
text mining based, Text Mining, Insights Hidden, increasingly difficult, Social Entrepreneurship, difficult for scientists, social entrepreneurship abstracts, Exploring Insights Hidden, continues to grow, scientists to stay, scientific literature continues, No-Code Text Mining
Data Mining Tools, interdisciplinary research field, Educational, Educational Data, Data Mining, Educational Data Mining, research field, Mining, EDM Tools, up-coming interdisciplinary research, Data, Tools
classification of consumable, identifying features, Clustering The classification, consumable media, Mining Online Book, mining relevant text, Sentimental, Online, Online Book, Online Book Reviews, Sentimental Clustering, Reviews for Sentimental
discovering hidden information, unstructured messages generated, modern computing, unstructured log messages, modern computing environment, discovering hidden, computing environment poses, security threat detection, exponential growth, detection discovering hidden, applications in modern, threat detection discovering
ethical, Effect, difficult to compare, Labor and Welfare, pharmaceutical package insert, Study, ethical pharmaceutical package, Package, Filtering, Study on Filtering, Package Insert, pharmaceutical
topics and contexts, Taking China, main research object, National Trendy Brands, main research, brand communication, Trendy Brands, Relationship, Communication, Weibo and bilibili, China Li Ning, Ning on Weibo
Convolutional Neural Network, Learning Machine understanding, Deep Learning Machine, aims to build, Machine understanding research, Fuzziness Detection, Thai Law, build machine intelligences, understanding research aims, research aims, Detection in Thai, Thai Law Texts
manufacturing, mining techniques Interests, mining techniques, analysis, manufacturing process, Interests, process analysis, data, process, manufacturing process management, process mining techniques, big data
