Grammar Books, English Grammar Books, named English, order to systematically, adopted to study, English learning, English Grammar, Century English, Century English grammar, named English Grammar, important materials, English, books named English, Gutenberg Project, Text Mining, books named, unstructured data, Grammar, Books, English words
mining techniques, vector space model, text mining techniques, documents using text, academic documents, undergraduate final projects, classification of academic, documents, final projects, final projects based, projects based, mining, mining is presented, Automatic, based on text, text, presented, text mining, undergraduate final, comprising documents
MOOC online excellent, MOOC Learners' Loyalty, key factors affecting, MOOC Learners', Learners' Loyalty Based, online learners' loyalty, Review Text, mining MOOC, learners' review texts, learners' online review, Loyalty Based, mining MOOC learners', affecting MOOC learners', Learners' Loyalty, Review Text Mining, Text Mining, Online Review Text, factors affecting MOOC, MOOC learners' online, affecting online learners'
Thai Law, Detection in Thai, Text Classification, machine understanding aims, Civil Procedure Code, understanding aims, Criminal Procedure Code, construct an intelligence, Thai, aims to construct, machine understanding, Convolutional Neural Network, Support Vector Machine, Code, machine, Procedure Code, Thai Law Texts, Detection, Fuzziness Detection, Thai codes
interact online, Pharmaceutical Industry, family members, Case, Case Study, diseases and therapies, increasing number, members interact online, knowledge pharmaceutical companies, Industry, Experiences on Web, members interact, family members interact, Patient Experiences, Experiences, Industry An increasing, pharmaceutical companies, Mining Patient Experiences, Web, Study
annotation and recognition, computerized annotation, understanding with technologies, mobile messaging, element for thoughtfulness, application network, mobile, mobile messaging application, peculiar element, classifier and stress, text mining Emotions, messaging application network, knowledge and understanding, interactions messaging application, mobile messaging system, enhance our knowledge, thoughtfulness and perception, stress analyzer, emotional interactions messaging, messaging application
Social Media Mining, allowed channeling, Wisdom of Crowds’, utilizing social media, storing fan-generated, Soccer Match Analysis, social media data, research utilizing social, large-scale opinions, Media Mining, Social Media, improve team performance, essentially lead, media mining approach, Soccer Match, lead to gathering, team performance, sports match, gathering and storing, Match Analysis
Construction Projects Based, inspection involves intensive, generating large amounts, large amounts, intensive paperwork, Topic Modeling, Understanding On-Site Inspection, involves intensive, on-site inspection involves, involves intensive paperwork, ensure success, amounts of textual, Based on Keyword, Construction, On-Site Inspection, success of construction, generating large, Keyword Extraction, Construction Projects, textual data
processing Nowadays, Automation of outage, natural language, language processing Nowadays, outage analysis, unstructured data consists, natural, analysis, processing, language processing, data, language, customers, unstructured customer error, work, Nowadays, unstructured data, natural language processing, unstructured, customer
naturally structured, Distance Based, Feature Extraction, text documents, Multiple Views, Distance Based Feature, feature extraction techniques, Combining Multiple, Genetic Algorithm based, multiple feature extraction, Based Feature Extraction, high dimensionality induced, Algorithm based feature, challenging task due, naturally structured representation, Text Mining, Combining Multiple Views, Classification Text Mining, extraction techniques commonly, Text Classification Text
User generated, Topmost Destinations User, Destinations User, UGC, generated content, User generated content, Digital Traces, Bali, Mining Digital, Bali ’s Topmost, abundant tourist information, Perception, Uncover Global Perception, Topmost Destinations, textual digital traces, digital traces bring, Mining Digital Traces, Destinations User generated, traces bring great, User
study The aim, Exploring interdisciplinary nature, Computing using Text, interdisciplinary nature, similar silos, similar silos appearing, compartmentalized curriculum, undergraduate lead, Latent Dirichlet Allocation, research outputs, Exploring interdisciplinary, lead to similar, postgraduate research, postgraduate research outputs, case study, field of Computing, research articles published, Computing, Text mining, silos appearing
Clustering Approach, Text Clustering Approach, text documents based, Clustering Approach Based, unsupervised learning technique, Bacterial Colony Optimization, text documents, BCO text clustering, Text Clustering, Colony Optimization, Clustering, Approach Based, limited number, learning technique, Based on Bacterial, huge number, unsupervised learning, Bacterial Colony, number of groups, Text
potential fraud group, Weibo brings convenience, personal feelings, personal feelings anytime, important social, group, express personal, integrated into life, network analysis, fraud group mining, sharing information, social network analysis, gradually integrated, users identify fraud, fraud group, recent years, social network, express personal feelings, feelings anytime, fraud
